row,RecordID,Publication,Pub,Taxon,Class,Order,Family,Species,SpeciesSynonyms,animal,phylo,Common.name,Genus,Species.name,Body.mass,Log.Mb,Primary.diet,Diet.details,Foraging.guild,Nesting.guild,Volent,n.captured,method.of.capture,Measure,Ecosystem,Tree.species,Cause.of.decline,Decline.cause,Decline.permanence,Decline.scale,Decline.speed,Decline.severity,Location,Temporal.or.Spatial,Temporal.y,Beta,r,t,F,p,chi,Decline.mean1,sd1,se1,95%.CI1,n1,Intact.mean2,sd2,se2,95%.CI2,n2,yi,log_yi,vi,Calcualted_from
1,1,"{DeGraaf, 1987 #32058}","DeGraaf, 1987 ",Vertebrate,Bird,Passeriformes,Turdidae,Hylocichla mustelina,Hylocichla_mustelina,Hylocichla_mustelina,Hylocichla_mustelina,Wood thrush,Hylocichla,mustelina,,,I,I,GRO,TREE,,30,,Counts,Oak/maple forest,Quercus spp.,Gypsy moth (Lymantria dispar),Insect,0,1,1,2,"Pennsylvania, USA",0,,,,,,,4.8,1.5,2.121320344,,,2,13.5,0.707106781,,,2,-4.2818978781,-0.7227900002,3.2918311798,x and SD
2,2,"{Garneau, 2012 #29920}","Garneau, 2012 ",Vertebrate,Mammal,Rodentia,Cricetidae,Myodes gapperi,Myodes_gapperi,Myodes_gapperi,Myodes_gapperi,Southern red-backed vole,Myodes,gapperi,42,0.21,L,O,GRO,GRO,N,61,Trapping,Counts,American beech,Fagus grandifolia,Beech Bark Disease (introduced scale insect Cryptococcus fagisuga +),Insect,1,1,1,3,"New York and Vermont, USA",0,,,-1,,,,,,,,,,,,,,,-4.1294832097,-0.7100736126,0.0000000010,r
3,3,"{DeGraaf, 1987 #32058}","DeGraaf, 1987 ",Vertebrate,Bird,Passeriformes,Paridae,Poecile atricapillus,Parus_atricapillus,Parus_atricapillus,Parus_atricapillus,"Chickadee, Black-capped ",Parus,atricapillus,,,I,I,CAN,CAV,,16,,Counts,Oak/maple forest,Quercus spp.,Gypsy moth (Lymantria dispar),Insect,0,1,1,2,"Pennsylvania, USA",0,,,,,,,1.5625,1.5,0.707106781,,,2,6.5,0.707106781,,,2,-3.9894228051,-0.6980503077,2.9894367897,x and SD
4,4,"{Hartmann, 1989 #1123}","Hartmann, 1989 ",Arthropod,Myriapoda,Diplopoda,Diplopoda,,Diplopoda,Diplopoda,Diplopoda,Millipedes,Millipedes,Millipedes,,,D,D,GRO,,,124,,Abundance,Spruce,Picea abies,Multiple causes,Abiotic,1,0.5,1,2.5,"North Bavaria, Germany",0,,,,,,,,1.6,2.19089023,,,5,23.2,6.833739825,,,5,-3.8424673046,-0.6850666971,1.1382277493,x and SD
5,5,"{Canterbury, 1997 #836}","Canterbury, 1997 ",Vertebrate,Bird,Passeriformes,Parulidae,Seiurus aurocapilla ,Seiurus_aurocapilla,Seiurus_aurocapilla,Seiurus_aurocapilla,Ovenbird,Seiurus,aurocapillus,,,I,I,GRO,GRO,,162,Observation,Territories (number per 10ha),Dutch Elm,Ulmus americana,Dutch Elm Disease (Ophiostoma ulmi+),Pathogen,0.5,1,1,2.5,"Minnesota, USA",1,11,,,,,,,1.633333333,0.404145188,,,3,20,5.632051136,,,3,-3.6703167328,-0.6693463347,1.7892687433,x and SD
6,6,"{Becker, 2008 #32060}","Becker, 2008 ",Vertebrate,Bird,Passeriformes,Tyrannidae,Empidonax virescens,Empidonax_virescens,Empidonax_virescens,Empidonax_virescens,"Flycatcher, Acadian ",Empidonax,virescens,,,I,I,AER,TREE,,73,Number of nests,,Eastern hemlock,Tsuga canadensis,Hemlock woolly adelgid (Adelges tsugae) ,Insect,1,1,1,3,"Pennsylvania, USA",0,,,,,,,55.6,,,,,1,,,,,1,-3.5751376471,-0.6604041647,5.1954022989,chi
7,7,"{Kendeigh, 1982 #832}","Kendeigh, 1982 ",Vertebrate,Bird,Passeriformes,Paridae,Baeolophus bicolor,Baeolophus_bicolor,Baeolophus_bicolor,Baeolophus_bicolor,Tufted titmouse,Baeolophus,bicolor,,,I,I,CAN,CAV,,73,Observation over 50 years,Breeding pairs,Dutch Elm,Ulmus americana,Dutch Elm Disease (Ophiostoma ulmi+),Pathogen,0.5,1,1,2.5,"Illinois, USA",1,49,,,,,,,0.3125,0.602079729,,,16,3.777777778,1.215369978,,,18,-3.4627520678,-0.6496027599,0.2943886715,x and SD
8,8,"{Armistead, 2008 #1682}","Armistead, 2008 ",Vertebrate,Mammal,Dasyuromorphia,Dasyuridae ,Antechinus flavipes,Antechinus_flavipes,Antechinus_flavipes,Antechinus_flavipes,Mardo,Antechinus,flavipes,28,0.16,I,I,GRO,TREE,N,73,Trapping,,Jarrah forest,Eucalyptus marginata,Phytophthora cinnamomi,Pathogen,1,0,0,1,sw Western Australia,0,,,,,,,,0,0,,,4,0.027488273,0.012729164,,,2,-3.4460187063,-0.6479712856,1.7395870770,x and SD
9,9,"{Roberts, 2019 #30945}","Roberts, 2018",Vertebrate,Bird,Passeriformes,Passerelidae,Spizella passerina,Spizella_passerina,Spizella_passerina,Spizella_passerina,"sparrow, Chipping",Spizella,passerina,,,O,,GRO,LOW,,,,,Mixed conifer forest,Ponderosa pine (Pinus ponderosa) predominantly,Drought followed by bark beetles Dendroctonus spp.,Abiotic,1,0.5,1,2.5,"California, USA",1,7,,,,,,,,,,,,,,,,,-3.0602516176,-0.6085529480,3.6915204471,off graph
10,10,"{Matsuoka, 2001 #833}","Matsuoka, 2001 ",Vertebrate,Bird,Passeriformes,Regulidae,Regulus calendula,Regulus_calendula,Regulus_calendula,Regulus_calendula,Ruby-crowned Kinglet ,Regulus,calendula,,,I,I,CAN,TREE,,53,,densities (individuals/ha),White and lutz spruce,Picea glauca/P.lutzii,Spruce beetle (Dendroctonus rufipennis),Insect,1,1,1,3,"Alaska, USA",0,,,,,,,,0.05,0.02,0.01,14,4,0.17,0.04472136,0.02,39,5,-2.9400081827,-0.5954971238,0.9302026730,x and SD
11,11,"{Matsuoka, 2001 #833}","Matsuoka, 2001 ",Vertebrate,Mammal,Rodentia,Sciuridae,Tamiasciurus hudsonicus,Tamiasciurus_hudsonicus,Tamiasciurus_hudsonicus,Tamiasciurus_hudsonicus,American red squirrel,Tamiasciurus,hudsonicus,200,0.36,S,S,CAN,TREE,N,126,Index,Observation densities (individuals/ha),White and lutz spruce,Picea glauca/P.lutzii,Spruce beetle (Dendroctonus rufipennis),Insect,1,1,1,3,"Alaska, USA",0,,,,,,,,0.33,0.12,0.06,35,4,1.08,0.290688837,0.13,91,5,-2.8546050390,-0.5859798848,0.9027094405,x and SD
12,12,"{Garneau, 2012 #29920}","Garneau, 2012 ",Vertebrate,Mammal,Rodentia,Sciuridae,Glaucomys sabrinus,Glaucomys_sabrinus,Glaucomys_sabrinus,Glaucomys_sabrinus,Northern flying squirrel,Glaucomys,sabrinus,132,0.33,S,S,CAN,TREE,N,19,Trapping,Counts,American beech,Fagus grandifolia,Beech Bark Disease (introduced scale insect Cryptococcus fagisuga +),Insect,1,1,1,3,"New York and Vermont, USA",0,,,-0.8,,,,,,,,,,,,,,,-2.6666666667,-0.5642714304,0.0144003733,r
13,13,"{Allen, 2009 #32012}","Allen, 2009 ",Vertebrate,Bird,Passeriformes,Tyrannidae,Empidonax virescens,Empidonax_virescens,Empidonax_virescens,Empidonax_virescens,"Flycatcher, Acadian ",Empidonax,virescens,,,I,I,AER,TREE,,11,Abundance (*correlated with defoliation),,Eastern hemlock,Tsuga canadensis,Hemlock woolly adelgid (Adelges tsugae) ,Insect,1,1,1,3,"Pennsylvania and New Jersey, North America",0,,,-0.758,,,,,,,,,6,,,,,5,-2.3242459503,-0.5216931484,0.0362050888,r
14,14,"{Bull, 1983 #7591}","Bull, 1983 ",Vertebrate,Bird,Passeriformes,Regulidae,Regulus satrapa,Regulus_satrapa,Regulus_satrapa,Regulus_satrapa,Golden-crowned Kinglet,Regulus,satrapa,,,I,I,CAN,TREE,,65,observation,Abundance,Lodgepole pine forest,Pinus contortus,Mountain pine beetle (Dendroctonus ponderosae),Insect,1,1,1,3,"Oregon, USA",0,,,-0.756544038,,,,,,,,,,,,,,,-2.3137928802,-0.5203253605,0.0057149273,r
15,15,"{Kendeigh, 1982 #832}","Kendeigh, 1982 ",Vertebrate,Bird,Passeriformes,Corvidae,Corvus brachyrhynchos,Corvus_brachyrhynchos,Corvus_brachyrhynchos,Corvus_brachyrhynchos,"Crow, American",Corvus,brachyrhynchos,,,O,O,GRO,TREE,,94,Observation over 50 years,Breeding pairs,Dutch Elm,Ulmus americana,Dutch Elm Disease (Ophiostoma ulmi+),Pathogen,0.5,1,1,2.5,"Illinois, USA",1,49,,,,,,,0,0,,,16,5.222222222,3.153999432,,,18,-2.2179326579,-0.5075769513,0.1903971037,x and SD
16,16,"{Bull, 1983 #7591}","Bull, 1983 ",Vertebrate,Bird,Passeriformes,Sittidae,Sitta canadensis,Sitta_canadensis,Sitta_canadensis,Sitta_canadensis,"Nuthatch, red-breasted",Sitta,canadensis,,,I,I,BAR,CAV,,53,observation,Abundance,Lodgepole pine forest,Pinus contortus,Mountain pine beetle (Dendroctonus ponderosae),Insect,1,1,1,3,"Oregon, USA",0,,,-0.735866825,,,,,,,,,,,,,,,-2.1734994882,-0.5015384326,0.0080855378,r
17,17,"{Canterbury, 1997 #836}","Canterbury, 1997 ",Vertebrate,Bird,Passeriformes,Parulidae,Setophaga fusca,Dendroica_fusca,Dendroica_fusca,Dendroica_fusca,"Warbler, Blackburnian",Setophaga,fusca,,,I,I,CAN,TREE,,73,Observation,Territories (number per 10ha),Dutch Elm,Ulmus americana,Dutch Elm Disease (Ophiostoma ulmi+),Pathogen,0.5,1,1,2.5,"Minnesota, USA",1,11,,,,,,,2.533333333,1.962990915,,,3,7.133333333,1.4571662,,,3,-2.1231631778,-0.4945946757,1.0423184900,x and SD
18,18,"{Kendeigh, 1982 #832}","Kendeigh, 1982 ",Vertebrate,Bird,Apodiformes,Trochilidae,Archilochus colubris,Archilochus_colubris,Archilochus_colubris,Archilochus_colubris,"Hummingbird, Ruby-throated",Archilochus,colubris,,,N,N,CAN,TREE,,17,Observation over 50 years,Breeding pairs,Dutch Elm,Ulmus americana,Dutch Elm Disease (Ophiostoma ulmi+),Pathogen,0.5,1,1,2.5,"Illinois, USA",1,49,,,,,,,0.0625,0.25,,,16,0.888888889,0.471404521,,,18,-2.1018896266,-0.4916263404,0.1830252615,x and SD
19,19,"{Nichols, 1985 #882}","Nichols, 1985 ",Arthropod,Insecta,Dermaptera,Dermaptera,,Dermaptera,Dermaptera,Dermaptera,Earwigs,Earwigs,Earwigs,,,I,I,GRO,,,32,,Number of individuals,Jarrah forest,Eucalyptus marginata,Phytophthora cinnamomi,Pathogen,1,0,0,1,sw Western Australia,0,,,,,,,16,0,,,,1,32,,,,1,-2.0000000000,-0.4771212547,0.0000000010,chi
20,20,"{Nichols, 1985 #165}","Nichols, 1985 ",Vertebrate,Reptile,Squamata,Scincidae,Ctenotus_labillardieri,Ctenotus_labillardieri,Ctenotus_labillardieri,Ctenotus_labillardieri,,Ctenotus,labillardieri,,,I,I,GRO,,,16,Trapping,,Jarrah forest,Eucalyptus marginata,Phytophthora cinnamomi,Pathogen,1,0,0,1,sw Western Australia,0,,,,,,,8,0,,,,2,16,,,,2,-2.0000000000,-0.4771212547,1.5000000000,chi
